time,Type1,Type2,Type3,Type4,Type5
10,0.27649434447300775,0.361679409878127,-0.050583832752613245,-0.23230915875169605,-0.5855326129666011
30,0.20905141388174805,0.38397241821680567,-0.009639721254355398,-0.19649402985074627,-0.2981375245579568
50,0.3216804627249357,0.3922671584348941,0.0752562369337979,-0.08286506105834464,-0.3420265225933202
70,0.36872647814910026,0.0680734445157152,-0.23451853658536587,-0.12703249660786975,-1.0925787819253439
90,0.30379035989717224,-0.004925914047466324,-0.3147128222996516,-0.24179660786974222,-1.2402634577603142
100,0.573943059125964,-0.10628377164849263,-0.4512543554006968,0.28242042062415196,-0.3144003929273084
110,0.4354584832904884,0.08625343168697883,-0.2812093379790941,-0.15328188602442333,-1.1526031434184676
120,0.569866323907455,-0.24876812059012188,-0.5300844599303136,0.337710447761194,-0.14701277013752456
130,0.47761053984575835,0.1310406670942912,-0.3558475958188153,-0.2537828358208955,-1.19468094302554
140,0.6668769922879177,-0.0014021167415009625,-0.3314128919860627,0.333582157394844,-0.0624705304518664
150,0.4029061696658098,-0.03797645926876203,-0.57938787456446,-0.3644717774762551,-1.3399573673870335
160,0.6857325192802057,-0.08515599743425271,-0.3596572822299652,0.42209640434192675,0.01635383104125737
160,0.2203705655526992,-0.47159114817190506,-1.0163305226480837,-0.3297521031207598,-1.88221394891945
170,0.5206839331619537,0.14027119948685055,-0.2392205574912892,-0.08613229308005428,-0.7150497053045187
180,0.5049631105398458,-0.4486435535599743,-0.8359309407665505,0.10147957937584805,-0.49218742632612966
190,0.5041456298200514,0.12126459268762027,-0.225855818815331,-0.09294701492537315,-0.9681271119842829
200,0.47411979434447304,-0.41661584348941627,-0.7427956794425088,0.15909837177747624,-0.4352548133595285
210,0.5067798200514139,0.032378447722899294,-0.369793031358885,-0.21289131614654003,-1.1662697445972496
230,0.8417191516709511,0.2794674791533034,-0.17757700348432057,0.32265271370420623,-0.06255343811394892
240,0.4063976863753213,-0.6630758178319436,-1.0492124738675959,-0.05430027137042063,-0.6005848722986248
250,0.5612412596401029,0.16828582424631172,-0.2703285017421603,-0.34866797829036633,-0.9422459724950885
270,0.7141564267352185,0.20128980115458625,-0.21251818815331008,-0.14790963364993215,-0.7065265225933203
290,0.7893813624678663,0.27738460551635663,-0.21983282229965156,-0.19774999999999998,-0.9323145383104126
